"TIME","Z1","Z2","Z3","MD","FU","ESS","ES1","ES2","ES3","SP","DZ1","DZ2","DZ3","F2A","F2L","EFT","SEQ","SEQF","BIGD","DEBUG.FU","DEBUG.GAMMA","DEBUG.ES3"
"15",17200,-0.025846626327937,-0.0141950937405445,0.032916447047286,6.37378715947178e-07,32.8778741757387,1.9386250842748e-08,5.74910882062972e-11,1.47850783285316e-08,4.54368142601016e-09,1.11947541277728e-10,-4.48675989968864e-07,-2.55030741555928e-07,6.1799246510443e-07,-0.703815782200846,-0.400054081043881,0.0793503697672674,5.60665673565807,24.9612189282329,3.49285432157094,-1,1,1
"16",20040,-0.0270875013955689,-0.0148904256675797,0.034615792593869,5.96608502982358e-07,35.375952015423,1.68648041675953e-08,5.09973625157770e-11,1.32587594155833e-08,3.55504738949624e-09,1.04616006794704e-10,-4.25826365158444e-07,-2.35153978013747e-07,5.79743698814762e-07,-0.713619914842504,-0.394082131815879,0.0743286955710433,5.67844212845959,24.4231480156652,3.56608789787841,-1,1,1
"17",23280,-0.0283941803101754,-0.0156116116115745,0.0363974835716822,5.34567865286417e-07,40.1991015876516,1.32980052830491e-08,4.13713558259009e-11,1.09626067134891e-08,2.29402721373406e-09,9.59833069292183e-11,-3.81647776008956e-07,-2.10597304058209e-07,5.21269860003368e-07,-0.713808829628257,-0.393887308095119,0.0663136720904951,5.65450233541212,23.5116890945293,3.69390272143172,-1,1,1
"18",26641,-0.0296170802899363,-0.0162960676281376,0.038081259081475,4.92438077302274e-07,44.3494139799659,1.11035982916195e-08,3.52258054979572e-11,9.47161412682381e-09,1.59675835929771e-09,8.90772530653712e-11,-3.46668723883888e-07,-1.96921793598597e-07,4.81334479010654e-07,-0.703857078087127,-0.399819160785928,0.0607448095852605,5.65758977746354,22.8342032668251,3.79215959372265,-1,1,1
"19",30841,-0.0309907906911047,-0.0170785148738981,0.0399940157628687,4.38535597349874e-07,50.8321120980174,8.62713704487165e-09,2.81765896126178e-11,7.73156075248623e-09,8.67399702772802e-10,8.12295062269343e-11,-3.07918305614921e-07,-1.75817822799097e-07,4.29908460305003e-07,-0.702021187426859,-0.400846050661842,0.0537792920345779,5.62799542986661,21.9257520234868,3.92859109423159,-1,1,1
"20",35520,-0.0323536551998811,-0.0178642104717927,0.0419079186984167,3.9512445975311e-07,56.9312716182325,6.94037650173565e-09,2.34069221902767e-11,6.53198607059541e-09,3.84983508949967e-10,7.45803218874474e-11,-2.74750688662087e-07,-1.59995674371446e-07,3.88184083251375e-07,-0.695221042566164,-0.404848337539188,0.0486051096304503,5.62708512463005,21.1987431781852,4.04190934205876,-1,1,1
"21",40560,-0.0336854521464882,-0.0186180751787498,0.0437653958583681,3.54620173214047e-07,63.2089931756091,5.61028036356837e-09,1.97240034405357e-11,5.59055636012784e-09,0,6.87588533755852e-11,-2.53557481230048e-07,-1.39362871037262e-07,3.49009892850478e-07,-0.714872831672823,-0.392915759239905,0.0442718627203681,5.65884440234404,20.5490651688788,4.14651196629513,-1,1,-1
"22",45680,-0.0349424505883097,-0.0193209280626757,0.0455112428141455,3.37892952923546e-07,69.7817440326162,4.84213969724823e-09,1.67755835200995e-11,4.82536411372813e-09,0,6.3689591698626e-11,-2.37601406739701e-07,-1.35186235760164e-07,3.33050813226297e-07,-0.703052927059966,-0.400010589388153,0.0405296479236878,5.66894248111058,19.9529484926798,4.24544220352118,-1,1,-1
"23",51920,-0.0363720252884984,-0.0201430834866148,0.0475274961207296,3.17345340849388e-07,79.3464384367611,3.99949067786214e-09,1.35948080530596e-11,3.98589586980908e-09,0,5.80446863871479e-11,-2.20787121061002e-07,-1.28363666912463e-07,3.13345850171526e-07,-0.695604177908547,-0.404418077317561,0.0361385186356479,5.65095476966294,19.2046436553875,4.37389941262861,-1,1,-1
"24",59041,-0.0378878204126326,-0.0210298594032189,0.0496872590181953,2.9675580962472e-07,91.0279583646641,3.26005125190105e-09,1.08579451000735e-11,3.24919330680098e-09,0,5.25484755074429e-11,-2.05226191121997e-07,-1.20753019384888e-07,2.93495758372819e-07,-0.69144343655139,-0.406838338912652,0.0319683415835889,5.62940854522552,18.4355531709508,4.51124952978052,-1,1,-1
