"TIME","Z1","Z2","Z3","MD","FU","ESS","ES1","ES2","ES3","SP","DZ1","DZ2","DZ3","F2A","F2L","EFT","SEQ","SEQF","BIGD","DEBUG.FU","DEBUG.GAMMA","DEBUG.ES3"
"70",2384054,NA,NA,0.175033536154972,1.94785338299283e-08,24047.4408079489,8.10004440201787e-13,1.17878593689701e-15,8.0882565426489e-13,0,NA,NA,NA,1.94777238254881e-08,-0.623159184107994,-0.369670201854606,0.000219972164229323,5.12932542158826,3.50648549709859,10.0886771002003,-1,NA,-1
"71",2465734,NA,NA,0.1765922360349,1.86935731154324e-08,26158.9199670073,7.14615631647236e-13,1.02703968415147e-15,7.13588591963084e-13,0,NA,NA,NA,1.86928584998008e-08,-0.606607224138996,-0.375356229562618,0.00020404385315018,5.08215848493084,3.41972074647731,10.172877403264,-1,NA,-1
"72",2538894,NA,NA,0.177954542495854,1.85512578859451e-08,26571.1539997524,6.98172833822647e-13,1.00107887939265e-15,6.97171754943254e-13,0,NA,NA,NA,1.85505597131112e-08,-0.61634045832684,-0.365878587004672,0.000201214209775516,5.10444563824864,3.40383908033034,10.1885207213164,-1,NA,-1
"73",2621494,NA,NA,0.17945503156278,1.77855826961768e-08,28964.2289715151,6.14053379900704e-13,8.69249668126409e-16,6.13184130232578e-13,0,NA,NA,NA,1.77849686427969e-08,-0.60791692126553,-0.367470257254191,0.000186298484024035,5.03565302503256,3.31756350357908,10.2747976841335,-1,NA,-1
"74",2701215,NA,NA,0.180862017596143,1.75146208897189e-08,29888.3883275759,5.86000847478262e-13,8.25674776761582e-16,5.851751727015e-13,0,NA,NA,NA,1.75140348888714e-08,-0.61476600831101,-0.359117582722786,0.000181144983818431,5.04456545442019,3.28668620396771,10.3062217244333,-1,NA,-1
"75",2783099,NA,NA,0.182279213796081,1.71023520256885e-08,31380.9581588224,5.449913906112e-13,7.62350027311473e-16,5.44229040583889e-13,0,NA,NA,NA,1.71018070342979e-08,-0.608073468685199,-0.359719896352141,0.000173429832452519,5.03063232366714,3.23934650509515,10.3549775926998,-1,NA,-1
"76",2844696,NA,NA,0.183313755775276,1.64922228668977e-08,33801.8804266064,4.8790844351713e-13,6.7500242588274e-16,4.87233441091248e-13,0,NA,NA,NA,1.64917349584542e-08,-0.602068185440952,-0.360868282580709,0.000162291969262724,4.96364998702432,3.16846184088364,10.4293314530185,-1,NA,-1
"77",2880094,NA,NA,0.18389891125617,1.65710816520452e-08,33473.6365967551,4.95048740944138e-13,6.85874982224078e-16,4.94362865961914e-13,0,NA,NA,NA,1.65705866033043e-08,-0.610519750109102,-0.354795365746884,0.00016371266636457,4.98276788414372,3.17768052042489,10.4195680268628,-1,NA,-1
"78",3483454,NA,NA,0.193563679715878,1.54761978869751e-08,38497.2074925788,4.02008324628701e-13,5.45512104384475e-16,4.01462812524316e-13,0,NA,NA,NA,1.54757958786504e-08,-0.599035855054775,-0.354495384888318,0.000144491390589795,4.8972614422617,3.04810643643121,10.5594718692848,-1,NA,-1
"79",3566094,NA,NA,0.19484613168049,1.56085348984547e-08,37832.5170299303,4.12569295511224e-13,5.61294454501835e-16,4.12008001056722e-13,0,NA,NA,NA,1.56081223291592e-08,-0.614700347678565,-0.342977992122486,0.000146756777549014,4.93152358485326,3.0639536656784,10.5420453869702,-1,NA,-1
"80",3655574,NA,NA,0.196221494233473,1.51357275233326e-08,40289.3361160865,3.75675773850474e-13,5.0634290104121e-16,3.75169430949432e-13,0,NA,NA,NA,1.51353518475588e-08,-0.604826785509524,-0.346496518314057,0.000138736662838473,4.88900042533004,3.00709087203857,10.6049989776743,-1,NA,-1
"81",3738974,NA,NA,0.197468831963667,1.47784800081118e-08,42306.564919656,3.49318835886995e-13,4.67411170894099e-16,3.48851424716101e-13,0,NA,NA,NA,1.47781306892759e-08,-0.593691663218831,-0.350766684610357,0.000132812538511704,4.8681342098355,2.96366535722372,10.6538829315343,-1,NA,-1
"82",3824495,NA,NA,0.198737292984281,1.48885562158447e-08,41669.2792052735,3.57302945954498e-13,4.79174494790283e-16,3.56823771459708e-13,0,NA,NA,NA,1.48881989128988e-08,-0.607656698105227,-0.340478867117224,0.000134625411749083,4.89764852448083,2.97708900835832,10.6386959021766,-1,NA,-1
"83",3908014,NA,NA,0.199962385701732,1.44508396872619e-08,44291.6667040093,3.26265430105247e-13,4.33598127240877e-16,3.25831831978007e-13,0,NA,NA,NA,1.44505134218317e-08,-0.597180129530037,-0.344001913430769,0.000127482591459723,4.864619518143,2.92347756576281,10.6997646144321,-1,NA,-1
"84",3993174,NA,NA,0.201178814865865,1.41189836053826e-08,46446.9770197764,3.03980678858195e-13,4.01138444029543e-16,3.03579540414166e-13,0,NA,NA,NA,1.41186796247038e-08,-0.596896952894831,-0.34262151268137,0.000122185107866819,4.81875069491364,2.88240872205882,10.7473084511632,-1,NA,-1
"85",4076694,NA,NA,0.202345237545142,1.3814379131604e-08,48565.6271724077,2.8444766259402e-13,3.72881198465584e-16,2.84074781395555e-13,0,NA,NA,NA,1.38140946839414e-08,-0.587565321009618,-0.345774196616849,0.000117412513629757,4.80312202040216,2.84437989125377,10.7919409535174,-1,NA,-1
"86",4156654,NA,NA,0.203449208876696,1.38009642654686e-08,48662.2182341621,2.83607380967685e-13,3.71669862440319e-16,2.83235711105245e-13,0,NA,NA,NA,1.38006806580877e-08,-0.600030680700932,-0.33665063110108,0.000117204310078947,4.80501033494139,2.8426976163166,10.7939291114148,-1,NA,-1
"87",4240257,NA,NA,0.204590207809162,1.34963039160971e-08,50935.1711789255,2.64970227913579e-13,3.44896742474511e-16,2.64625331171105e-13,0,NA,NA,NA,1.34960389458691e-08,-0.593208264592948,-0.339524329648475,0.000112521011039051,4.76790191752486,2.80431856025923,10.8396089937258,-1,NA,-1
"88",4331255,NA,NA,0.205823322608823,1.36075117354455e-08,50087.5247341595,2.7167466964414e-13,3.54506997601642e-16,2.71320162646538e-13,0,NA,NA,NA,1.36072400607758e-08,-0.604444983537987,-0.33084006027357,0.000114220489836879,4.80028463079979,2.81836655937366,10.8228165212832,-1,NA,-1
"89",4417255,NA,NA,0.206979243774507,1.32760874782605e-08,52677.9156517865,2.52023781009458e-13,3.26408220027838e-16,2.5169737278943e-13,0,NA,NA,NA,1.32758354544795e-08,-0.595851397239365,-0.334339043548935,0.00010918977888484,4.76640872610054,2.7763665282487,10.8732735219507,-1,NA,-1
"90",4504175,NA,NA,0.208121895598291,1.30174950421644e-08,54840.0109403434,2.37372218184369e-13,3.05599038379692e-16,2.37066619145989e-13,0,NA,NA,NA,1.30172576699462e-08,-0.587805227586066,-0.337420856639252,0.000105336048078985,4.74684834935611,2.74331163022597,10.9135239302453,-1,NA,-1
"91",4592775,NA,NA,0.20927731740706,1.30662684006762e-08,54422.2287435935,2.4009065233688e-13,3.09450495503931e-16,2.39781201841376e-13,0,NA,NA,NA,1.30660283100239e-08,-0.598806734505669,-0.328850571154534,0.000106058103436399,4.76657404177382,2.74956562721605,10.9058714715628,-1,NA,-1
"92",4677095,NA,NA,0.210368342251558,1.28137024701576e-08,56638.3193061157,2.26237335908625e-13,2.898696590134e-16,2.25947466249611e-13,0,NA,NA,NA,1.28134762328217e-08,-0.587980194613769,-0.333766598274136,0.000102343263703437,4.75076841290845,2.71708083118501,10.9458114016785,-1,NA,-1
"93",4756735,NA,NA,0.21137407027396,1.24451309965495e-08,60121.2336306855,2.07000592719002e-13,2.62879194983713e-16,2.06737713524018e-13,0,NA,NA,NA,1.24449239959568e-08,-0.583056786350846,-0.334149650108869,9.70301275605777e-05,4.71067022774529,2.66922390223457,11.0055298295868,-1,NA,-1
"94",4825240,NA,NA,0.212222001589185,1.23109485685641e-08,61468.7074770827,2.00279932242823e-13,2.53507403126143e-16,2.00026424839697e-13,0,NA,NA,NA,1.23107482886318e-08,-0.579570013740231,-0.335965027538641,9.51277447259943e-05,4.68899489614523,2.6516642776174,11.0277105528946,-1,NA,-1
"95",4911561,NA,NA,0.213286875118771,1.23626895889738e-08,60943.8425420738,2.02853792496575e-13,2.57092933232337e-16,2.02596699563343e-13,0,NA,NA,NA,1.23624867351813e-08,-0.58808775340774,-0.329021799454273,9.58592875207094e-05,4.71241050345643,2.6584441243634,11.0191291210338,-1,NA,-1
"96",5003401,NA,NA,0.214408784954776,1.20708006049621e-08,63995.0808881724,1.8862075705561e-13,2.3732392074135e-16,1.88383433134869e-13,0,NA,NA,NA,1.2070611984205e-08,-0.578770642994859,-0.332570969367085,9.1765704150348e-05,4.68809432556673,2.62005015443937,11.068017277047,-1,NA,-1
"97",5083041,NA,NA,0.215375703371336,1.22142627402792e-08,62467.6827702361,1.95529307293257e-13,2.46901634291371e-16,1.95282405658965e-13,0,NA,NA,NA,1.22140672109719e-08,-0.596203607472841,-0.321593323596825,9.37675668903468e-05,4.69749171925324,2.63896534287765,11.0438431318264,-1,NA,-1
"98",5167241,NA,NA,0.216392482529068,1.19388197887986e-08,65449.848560835,1.82411725180718e-13,2.2874579366373e-16,1.82182979387054e-13,0,NA,NA,NA,1.19386373770735e-08,-0.586499259902673,-0.326389089001289,8.99413614373801e-05,4.66480010050929,2.60257122333835,11.0905114993179,-1,NA,-1
"99",5260281,NA,NA,0.217509379759111,1.20707339151227e-08,63995.8010717407,1.88617592294705e-13,2.37319541179969e-16,1.88380272753525e-13,0,NA,NA,NA,1.20705452975304e-08,-0.585425687979742,-0.328902956615176,9.17647804525866e-05,4.67239209301178,2.62004136341878,11.0680285527456,-1,NA,-1
"100",5434241,NA,NA,0.219555789698109,1.14605771792984e-08,71155.3342510935,1.61064202704132e-13,1.99480950925775e-16,1.60864721753206e-13,0,NA,NA,NA,1.14604161150957e-08,-0.584172760408262,-0.322302090568464,8.34701635275823e-05,4.62767476113479,2.53859386327192,11.174154618046,-1,NA,-1
