"Sum of Squared Error"
"1",125178452.859349
"2",583.698201035628
"3",494.207634067461
"4",354.044146812184
"5",125.207502958646
"6",35.1563534372422
"7",23.5811700639738
"8",22.4420904067695
"9",22.2504279903172
"10",22.2331508269915
"11",22.230533486973
"12",22.2283288761277
"13",22.2241019412072
"14",22.2216207656074
"15",22.2181414809665
"16",22.2175980528982
"17",22.2166620985973
"18",22.2159530862427
"19",22.2157555913782
"20",22.2145234548728
"21",22.2144023139075
"22",22.2141468471047
"23",22.2141434209255
"24",22.2141408321928
"25",22.2141403910887
"26",22.2141401715222
"27",22.214139012391
"28",22.2141386697086
"29",22.2141378944239
"30",22.2141375463213
"31",22.2141369764389
"32",22.2141359930889
"33",22.2141357339813
"34",22.2141353896236
"35",22.2141347880683
"36",22.2141337745589
"37",22.2141335099348
"38",22.2141333113308
