"Sum of Squared Error"
"1",290.38229916056
"2",290.247192691051
"3",290.223939237389
"4",290.208449510213
"5",290.202301743412
"6",290.193551980352
"7",290.188077376591
"8",290.182970285987
"9",290.176759402912
"10",290.173913820476
"11",290.170286606386
"12",290.167442881828
"13",290.165071962754
"14",290.163118750513
"15",290.161543348884
"16",290.15624387843
"17",290.156022347546
"18",290.155868345912
"19",290.155660038741
"20",290.15538260885
"21",290.15515302248
"22",290.154961850871
"23",290.154796780676
"24",290.154535569962
"25",290.154479310505
"26",290.154471327587
"27",290.154437559891
"28",290.154434684825
"29",290.154433401181
